doc_version,release_date,appropriate_sdk_version
3.2.88,2024/03/20,SunmiPayHardwareService_v3.3.328 SunmiPayHardwareService_v5.0.28
3.2.89,2024/04/05,SunmiPayHardwareService_v3.3.328
3.2.90,2024/04/23,SunmiPayHardwareService_v3.3.329
3.2.91,2024/05/17,SunmiPayHardwareService_v3.3.331 SunmiPayHardwareService_v5.0.32
3.2.92,2024/06/07,SunmiPayHardwareService_v3.3.331 SunmiPayHardwareService_v5.0.32
3.2.93,2024/06/13,SunmiPayHardwareService_v3.3.331 SunmiPayHardwareService_v5.0.32
3.2.94,2024/06/26,SunmiPayHardwareService_v5.0.33
3.3.0,2024/08/30,SunmiPayHardwareService_v5.0.35 SunmiPayHardwareService_v3.3.335
3.3.1,2024/10/22,SunmiPayHardwareService_v3.3.339
3.3.2,2024/12/13,SunmiPayHardwareService_v5.0.37
3.3.3,2025/01/09,SunmiPayHardwareService_v3.3.344 SunmiPayHardwareService_v5.0.38
3.3.4,2025/01/14,SunmiPayHardwareService_v5.0.38
3.3.5,2025/02/12,SunmiPayHardwareService_v3.3.347 SunmiPayHardwareService_v5.0.39
3.3.6,2025/02/19,SunmiPayHardwareService_v5.0.39
3.3.7,2025/02/21,SunmiPayHardwareService_v5.0.40
3.3.8,2025/04/18,SunmiPayHardwareService_v5.0.41
3.3.9,2025/04/21,SunmiPayHardwareService_v5.0.42
3.3.10,2025/05/07,SunmiPayHardwareService_v5.0.43 SunmiPayHardwareService_v3.3.348
3.3.11,2025/05/20,SunmiPayHardwareService_v3.3.348 SunmiPayHardwareService_v5.0.43
3.3.12,2025/06/09,SunmiPayHardwareService_v5.0.44 SunmiPayHardwareService_v3.3.349
3.3.13,2025/06/30,SunmiPayHardwareService_v3.3.350 SunmiPayHardwareService_v5.0.45
3.3.14,2025/07/24,SunmiPayHardwareService_v3.3.351 SunmiPayHardwareService_v5.0.45
3.3.15,2025/08/20,SunmiPayHardwareService_v3.3.351 SunmiPayHardwareService_v5.0.48
3.3.16,2025/09/25,SunmiPayHardwareService_v3.3.351 SunmiPayHardwareService_v5.0.48
3.3.17,2025/10/21,SunmiPayHardwareService_v5.0.52
3.3.18,2025/10/27,SunmiPayHardwareService_v3.3.354
3.3.19,2025/11/06,SunmiPayHardwareService_v5.0.53
3.3.20,2026/01/06,SunmiPayHardwareService_v5.0.56
